50000,137,20001,EXECUTION,1,8.8,8.24,17.72
50001,144,20001,EXECUTION,2,7.3,8.24,17.72
50002,112,20001,EXECUTION,3,7.9,8.24,17.72
50003,111,20001,EXECUTION,4,7.5,8.24,17.72
50004,148,20001,ARTISTIC,1,7.5,7.48,17.72
50005,106,20001,ARTISTIC,2,7.0,7.48,17.72
50006,140,20001,ARTISTIC,3,8.6,7.48,17.72
50007,125,20001,ARTISTIC,4,8.8,7.48,17.72
50008,144,20002,EXECUTION,1,7.5,8.28,18.13
50009,135,20002,EXECUTION,2,8.7,8.28,18.13
50010,111,20002,EXECUTION,3,7.4,8.28,18.13
50011,105,20002,EXECUTION,4,7.8,8.28,18.13
50012,129,20002,ARTISTIC,1,8.0,7.85,18.13
50013,123,20002,ARTISTIC,2,7.5,7.85,18.13
50014,138,20002,ARTISTIC,3,8.1,7.85,18.13
50015,120,20002,ARTISTIC,4,8.1,7.85,18.13
50016,145,20003,EXECUTION,1,8.9,8.73,19.29
50017,119,20003,EXECUTION,2,8.8,8.73,19.29
50018,102,20003,EXECUTION,3,8.5,8.73,19.29
50019,143,20003,EXECUTION,4,8.7,8.73,19.29
50020,126,20003,ARTISTIC,1,8.8,8.56,19.29
50021,118,20003,ARTISTIC,2,8.6,8.56,19.29
50022,101,20003,ARTISTIC,3,7.5,8.56,19.29
50023,137,20003,ARTISTIC,4,8.6,8.56,19.29
50024,115,20004,EXECUTION,1,8.3,8.26,19.07
50025,141,20004,EXECUTION,2,7.6,8.26,19.07
50026,113,20004,EXECUTION,3,7.9,8.26,19.07
50027,140,20004,EXECUTION,4,8.2,8.26,19.07
50028,117,20004,ARTISTIC,1,8.5,8.81,19.07
50029,144,20004,ARTISTIC,2,7.2,8.81,19.07
50030,143,20004,ARTISTIC,3,7.6,8.81,19.07
50031,109,20004,ARTISTIC,4,8.5,8.81,19.07
50032,112,20005,EXECUTION,1,8.6,8.66,18.17
50033,113,20005,EXECUTION,2,8.0,8.66,18.17
50034,109,20005,EXECUTION,3,8.6,8.66,18.17
50035,135,20005,EXECUTION,4,8.5,8.66,18.17
50036,124,20005,ARTISTIC,1,7.7,7.51,18.17
50037,134,20005,ARTISTIC,2,7.2,7.51,18.17
50038,133,20005,ARTISTIC,3,8.9,7.51,18.17
50039,118,20005,ARTISTIC,4,7.3,7.51,18.17
50040,115,20006,EXECUTION,1,8.1,8.58,17.61
50041,144,20006,EXECUTION,2,7.9,8.58,17.61
50042,147,20006,EXECUTION,3,8.3,8.58,17.61
50043,149,20006,EXECUTION,4,8.3,8.58,17.61
50044,126,20006,ARTISTIC,1,8.2,7.03,17.61
50045,136,20006,ARTISTIC,2,8.6,7.03,17.61
50046,124,20006,ARTISTIC,3,8.9,7.03,17.61
50047,106,20006,ARTISTIC,4,7.2,7.03,17.61
50048,115,20007,EXECUTION,1,7.9,8.3,18.57
50049,131,20007,EXECUTION,2,8.4,8.3,18.57
50050,102,20007,EXECUTION,3,8.3,8.3,18.57
50051,140,20007,EXECUTION,4,7.2,8.3,18.57
50052,136,20007,ARTISTIC,1,7.1,8.27,18.57
50053,121,20007,ARTISTIC,2,7.1,8.27,18.57
50054,147,20007,ARTISTIC,3,9.0,8.27,18.57
50055,150,20007,ARTISTIC,4,7.2,8.27,18.57
50056,116,20008,EXECUTION,1,7.3,7.84,18.32
50057,135,20008,EXECUTION,2,7.8,7.84,18.32
50058,109,20008,EXECUTION,3,7.2,7.84,18.32
50059,125,20008,EXECUTION,4,8.0,7.84,18.32
50060,130,20008,ARTISTIC,1,7.8,8.48,18.32
50061,124,20008,ARTISTIC,2,8.9,8.48,18.32
50062,143,20008,ARTISTIC,3,7.1,8.48,18.32
50063,149,20008,ARTISTIC,4,7.7,8.48,18.32
50064,129,20009,EXECUTION,1,7.1,8.8,19.09
50065,150,20009,EXECUTION,2,7.6,8.8,19.09
50066,116,20009,EXECUTION,3,8.9,8.8,19.09
50067,124,20009,EXECUTION,4,8.9,8.8,19.09
50068,107,20009,ARTISTIC,1,8.6,8.29,19.09
50069,144,20009,ARTISTIC,2,7.2,8.29,19.09
50070,147,20009,ARTISTIC,3,7.4,8.29,19.09
50071,135,20009,ARTISTIC,4,8.3,8.29,19.09
50072,102,20010,EXECUTION,1,8.2,8.66,18.77
50073,104,20010,EXECUTION,2,8.6,8.66,18.77
50074,122,20010,EXECUTION,3,7.5,8.66,18.77
50075,116,20010,EXECUTION,4,8.5,8.66,18.77
50076,109,20010,ARTISTIC,1,8.6,8.11,18.77
50077,137,20010,ARTISTIC,2,8.2,8.11,18.77
50078,114,20010,ARTISTIC,3,7.6,8.11,18.77
50079,105,20010,ARTISTIC,4,9.0,8.11,18.77
50080,109,20011,EXECUTION,1,7.5,7.03,17.61
50081,135,20011,EXECUTION,2,7.6,7.03,17.61
50082,117,20011,EXECUTION,3,7.3,7.03,17.61
50083,112,20011,EXECUTION,4,7.1,7.03,17.61
50084,108,20011,ARTISTIC,1,8.5,8.58,17.61
